brand_name_key,brand_name,n_paid_prescribers,payment_usd,observed_brand_fills,expected_brand_fills,oe_ratio
DULERA,Dulera,1905.0,42237.83000000001,1356.5,1136.5230372023157,1.1935525771120163
OTEZLA,Otezla,27347.0,5540588.849999997,48664.7,25331.52420664928,1.9211121921840766
SIMPONI,Simponi,9476.0,531403.72,4857.2,4189.805498960358,1.159290091438671
REXULTI,Rexulti,14768.0,3393032.3699999996,128944.69999999994,22019.532212206326,5.855923675277744
DEXILANT,Dexilant,62.0,9636.0,5099.4,726.2260622343897,7.021780496710082
OFEV,Ofev,8254.0,1943812.7699999996,57791.7,28339.942327851368,2.039231390503029
PRADAXA,Pradaxa,209.0,9732.089999999997,4275.0,2082.0955097935243,2.0532199315025372
GEMTESA,Gemtesa,7846.0,643385.6100000001,21354.7,3369.288054153506,6.338045206219424
IMVEXXY,Imvexxy,3426.0,146693.72999999998,6074.4000000000015,1322.3346948775113,4.593693278661706
EPCLUSA,Epclusa,1425.0,2317483.19,3679.8,193.64175172688908,19.00313319407461
HORIZANT,Horizant,6086.0,213209.00000000003,11353.1,814.9904826674463,13.930346723610255
TOVIAZ,Toviaz,163.0,4558.04,602.0,595.6875428472679,1.0105969265742236
ONGLYZA,Onglyza,73.0,3556.4,56.0,67.20456082760907,0.8332767792895687
CORLANOR,Corlanor,1100.0,34628.98999999999,2502.5,808.5376499427217,3.09509396399448
TIBSOVO,Tibsovo,779.0,341273.9199999999,199.0,38.02292418584746,5.233684790452544
FEMRING,Femring,82.0,1661.3500000000001,68.8,13.640655952998479,5.043745714067104
SOMATULINE DEPOT,Somatuline Depot,1781.0,276774.95999999985,635.8,166.56894202888347,3.8170381120014
NEUPRO,Neupro,901.0,53001.39,18202.8,4823.212140134545,3.773999457442945
HUMIRA,Humira,20309.0,4934421.159999999,6416.099999999999,10485.726792729134,0.6118889159356089
RUCONEST,Ruconest,869.0,331593.3699999999,250.0,4.249305906245263,58.83313781494798
MITIGARE,Mitigare,1707.0,39319.66999999999,5451.5,904.2510995434089,6.028745779521497
SHINGRIX,Shingrix,12303.0,691945.3700000005,109849.40000000001,170653.98845473578,0.6436966460302592
APTIOM,Aptiom,3122.0,194249.04,25921.300000000003,5049.730480908541,5.1332046528028314
EDARBI,Edarbi,3924.0,105400.99999999999,31875.100000000002,1485.2134031719868,21.461629643204134
RINVOQ,Rinvoq,4174.0,4092853.9400000013,44535.3,17006.29182771708,2.6187543087679925
SUBVENITE,Subvenite,253.0,5858.3,158.0,5.41427749463586,29.182102350043362
XELJANZ,Xeljanz,5821.0,1200987.9600000007,15112.5,19511.64333998146,0.7745375280119465
NUPLAZID,Nuplazid,4599.0,1423980.7300000004,44681.299999999996,10397.357666681328,4.2973706813205705
VALTOCO,Valtoco,2547.0,631674.9799999997,1136.0,107.64446717094155,10.553259539071426
AVASTIN,Avastin,79.0,11974.7,84.0,15.007818641497737,5.597082561201382
XPOVIO,Xpovio,1794.0,1682122.1399999994,267.9,48.05804184508656,5.574509274921488
VYZULTA,Vyzulta,3874.0,532762.61,86719.39999999992,23623.01944146716,3.670970182912994
XERMELO,Xermelo,634.0,84574.65000000001,219.6,19.836741416831345,11.070366618464403
ALECENSA,Alecensa,617.0,49857.270000000004,240.0,196.06342794725626,1.2240936645490217
TECENTRIQ,Tecentriq,1419.0,365383.5300000001,296.0,74.2703849147037,3.9854378072759835
LO LOESTRIN FE,Lo Loestrin Fe,6317.0,402280.4200000004,189.79999999999998,64.70682437258546,2.9332300238862152
XOSPATA,Xospata,684.0,185250.84999999998,168.5,25.593080239260434,6.583810874844081
CIMZIA,Cimzia,9608.0,2112783.4300000016,11624.999999999989,5535.290675244585,2.1001607109795226
MAVYRET,Mavyret,6877.0,1783681.6700000004,1190.9,278.73600418525575,4.272501514402476
KANJINTI,Kanjinti,208.0,8346.430000000004,19.0,4.674442181733887,4.064656115385375
KEYTRUDA,Keytruda,5463.0,696425.7000000001,3814.6,437.28338931309383,8.723404760451022
DAYVIGO,Dayvigo,21248.0,1590354.4299999997,11726.4,301.0245297886617,38.954964926721004
ROCKLATAN,Rocklatan,5380.0,1947692.5000000012,134373.69999999978,44178.16796832231,3.0416313346527097
HAVRIX,Havrix,102.0,2002.21,0.0,3.980718331474012,0.0
PRIVIGEN,Privigen,249.0,75310.38,366.1,242.57868038475772,1.5092010535275535
GARDASIL 9,Gardasil 9,10093.0,232623.50000000006,39.0,63.441636391638525,0.6147382416059514
LUCEMYRA,Lucemyra,969.0,130855.82999999999,116.6,0.012997220841726978,8971.148633995745
BOSULIF,Bosulif,1027.0,84805.04000000002,898.1,447.1220140696073,2.008623981238788
PROLATE,Prolate,1219.0,70856.81000000003,2601.3999999999996,12.579819954450848,206.7915128689582
INTRAROSA,Intrarosa,228.0,5717.120000000001,746.8,52.51254876840776,14.221362655497016
FULPHILA,Fulphila,130.0,3086.62,0.0,4.510695632730029,0.0
BRIVIACT,Briviact,4056.0,625531.3500000003,32222.700000000023,12265.728484285122,2.6270514663098745
SEGLUROMET,Segluromet,3560.0,101621.19999999998,176.0,8.419874445421897,20.902924519936963
QUILLICHEW ER,Quillichew Er,235.0,71012.32999999999,0.0,0.7647880166273735,0.0
RUKOBIA,Rukobia,751.0,250786.99000000005,1243.0,80.95745492225616,15.353743533485074
STRENSIQ,Strensiq,1954.0,120020.22,451.70000000000005,73.42819386317146,6.151588051337786
OCREVUS,Ocrevus,1920.0,1590956.2,1718.1999999999998,149.66288831883588,11.480467999118222
