generic_name_key,generic_name,example_brand_name,n_brand_products,is_single_brand_equivalent,brand_premium_per_fill,n_paid_prescriber_cells,paid_total_fills,observed_brand_fills,expected_brand_fills,net_excess_brand_fills,estimated_savings_usd,savings_rank,share_of_headline_savings
CALCIPOTRIENE,Calcipotriene,Dovonex,2,False,1227.9113847695924,2082.0,50055.6,119.0,0.0,119.0,146121.4547875815,,
ZOLPIDEM TARTRATE,Zolpidem Tartrate,Ambien,4,False,597.8286101530493,85217.0,5621429.9,8905.1,8664.357090722533,240.74290927746492,143922.9988575484,,
INSULIN LISPRO,Insulin Lispro,Admelog,6,False,280.00985196283494,23509.0,1751716.4999999998,1380831.1999999997,1380384.6887585486,446.51124145097015,125027.54661842805,,
MINOCYCLINE HCL,Minocycline Hcl,Amzeeq,4,False,675.9060561589185,5278.0,188704.09999999995,225.0,46.350086916385735,178.64991308361428,120750.55818547928,,
NALOXONE HCL,Naloxone Hcl,Kloxxado,2,False,107.40849509631029,3832.0,165994.09999999998,156282.0,155304.42652351724,977.5734764827114,104999.69595507633,,
CYCLOSPORINE,Cyclosporine,Cequa,4,False,231.53775340056535,17009.0,1900037.9,1897031.9,1896637.3390988503,394.56090114967014,91355.74463189722,,
DICLOFENAC EPOLAMINE,Diclofenac Epolamine,Flector,2,False,51.57201929438372,1006.0,179605.7,4096.0,2445.617488653544,1650.3825113464552,85113.55871827285,,
SPIRONOLACTONE,Spironolactone,Aldactone,2,False,152.37163427005157,80099.0,7533619.199999997,697.5,160.9394709845168,536.5605290154829,81756.60469089261,,
CARBIDOPA LEVODOPA ENTACAPONE,Carbidopa/Levodopa/Entacapone,Stalevo 100,6,False,667.706201935632,1211.0,46145.900000000016,298.1,180.42287879208783,117.67712120791217,78573.74365645404,,
URSODIOL,Ursodiol,Reltone,3,False,870.876566944832,5852.0,259290.80000000002,190.2,114.45974099811107,75.74025900188892,65960.41673907745,,
CLINDAMYCIN PHOSPHATE,Clindamycin Phosphate,Cleocin Phosphate,4,False,1110.1848471572853,8154.0,232021.39999999997,85.2,29.396207150809293,55.803792849190685,61952.52523507559,,
TRIAMCINOLONE ACETONIDE,Triamcinolone Acetonide,Kenalog-10,6,False,147.4685047215268,66293.0,3270833.6,634.0,219.94954239242713,414.05045760757287,61059.40186265271,,
DIGOXIN,Digoxin,Digitek,3,False,17.884568658699,28997.0,1972872.5999999996,14448.6,11121.051080797946,3327.5489192020564,59511.77711064883,,
SUMATRIPTAN,Sumatriptan,Imitrex,2,False,526.9778990015021,412.0,6317.099999999999,133.0,49.28375690508752,83.71624309491246,44116.609898456,,
FLUOXETINE HCL,Fluoxetine Hcl,Fluoxetine Dr,2,False,716.1401948326812,78263.0,6204095.200000002,4117.200000000001,4058.613999097857,58.586000902141045,41955.790100526996,,
ALENDRONATE SODIUM,Alendronate Sodium,Binosto,2,False,230.3784976538883,75252.0,8112339.700000002,968.0,793.629667621534,174.37033237846626,40171.17520876019,,
OXYBUTYNIN CHLORIDE,Oxybutynin Chloride,Ditropan Xl,2,False,334.4630352801145,57885.0,4841774.000000003,560.5,443.16822925191724,117.33177074808265,39243.14017919428,,
BUPROPION HCL,Bupropion Hcl,Bupropion Xl,4,False,7.854452904448973,73559.0,6594267.100000001,4731400.300000003,4726756.15997515,4644.140024853549,36477.17910687865,,
KETOCONAZOLE,Ketoconazole,Ketodan,2,False,645.4558606004783,31027.0,1775535.1,47.0,0.0,47.0,30336.425448222482,,
FLUVASTATIN SODIUM,Fluvastatin Sodium,Fluvastatin Er,2,False,39.24470813433764,225.0,5978.8,3595.6,2849.766067725103,745.833932274897,29270.03498881368,,
DICLOFENAC SODIUM MISOPROSTOL,Diclofenac Sodium/Misoprostol,Arthrotec 50,2,False,356.2325128147513,443.0,7853.0,273.0,211.92934775327188,61.070652246728066,21755.351909087774,,
LEVOCARNITINE,Levocarnitine,Carnitor,2,False,178.9721679858299,604.0,15837.1,362.0,249.95182880600342,112.04817119399655,20053.504117436976,,
ERYTHROMYCIN ETHYLSUCCINATE,Erythromycin Ethylsuccinate,E.E.S. 200,3,False,246.79812126705866,103.0,2393.5,219.0,144.3627500981311,74.6372499018689,18420.333052321195,,
DOXYCYCLINE HYCLATE,Doxycycline Hyclate,Doryx,3,False,292.01399331174446,59705.0,2098631.8999999994,280.4,231.55896811818275,48.84103188181722,14262.264757275674,,
LAMIVUDINE,Lamivudine,Epivir,2,False,169.23333085943244,828.0,20865.0,291.2,219.7621153598915,71.4378846401085,12089.671167197448,,
DISOPYRAMIDE PHOSPHATE,Disopyramide Phosphate,Norpace,2,False,227.11376794067144,145.0,3933.4,75.6,28.36432800295366,47.235671997046346,10727.871448458855,,
METOCLOPRAMIDE HCL,Metoclopramide Hcl,Gimoti,2,False,900.0073760830483,16685.0,566031.3999999998,61.0,50.50034768210436,10.499652317895643,9449.764532413543,,
SILVER SULFADIAZINE,Silver Sulfadiazine,Silvadene,2,False,1.6945242815654602,4671.0,148866.00000000006,62347.299999999996,59014.310564232655,3332.9894357673516,5647.831529108941,,
LEVALBUTEROL HCL,Levalbuterol Hcl,Levalbuterol Concentrate,2,False,233.69552281557947,158.0,3153.6,37.4,15.513813020719189,21.88618697928081,5114.7039085625565,,
MEDROXYPROGESTERONE ACETATE,Medroxyprogesterone Acetate,Depo-Subq Provera 104,2,False,75.51565314071368,5372.0,231855.59999999992,103.8,51.10567960314805,52.69432039685196,3979.246021574307,,
AZATHIOPRINE,Azathioprine,Azasan,2,False,274.4640137645921,7143.0,340988.1999999999,145.0,132.86479238595163,12.135207614048383,3330.6777896183594,,
PILOCARPINE HCL,Pilocarpine Hcl,Isopto Carpine,2,False,63.109762044472475,4025.0,189500.5,46.9,0.0,46.9,2959.847839885759,,
HYOSCYAMINE SULFATE,Hyoscyamine Sulfate,Anaspaz,6,False,29.21255320677792,152.0,2415.2,113.0,84.59989959651695,28.400100403483027,829.6394441145831,,
NORETHINDRONE E ESTRADIOL IRON,Norethindrone-E.Estradiol-Iron,Aurovela 24 Fe,21,False,1.8340994606653531,491.0,7173.699999999999,6541.8,6418.098032729256,123.70196727074261,226.88171145451219,,
NORETHINDRONE,Norethindrone,Camila,9,False,1.2544764869055935,436.0,7829.099999999999,2480.2,2321.97656755963,158.22343244037,198.48757567393986,,
NORGESTIMATE ETHINYL ESTRADIOL,Norgestimate-Ethinyl Estradiol,Estarylla,17,False,1.2160917817909596,1078.0,15732.199999999997,13960.6,13858.55075773253,102.04924226746917,124.10124485946388,,
BUDESONIDE,Budesonide,Entocort Ec,5,False,0.0,7634.0,249044.90000000008,35175.399999999994,41611.11633201097,-6435.716332010973,0.0,,
EPINEPHRINE,Epinephrine,Adrenalin,2,False,0.0,3168.0,79271.90000000001,24.0,68.11962254387358,-44.11962254387354,0.0,,
LACTULOSE,Lactulose,Constulose,4,False,0.0,19779.0,769997.3999999986,114043.89999999998,109589.95158922723,4453.948410772781,0.0,,
LIDOCAINE HCL,Lidocaine Hcl,Glydo,2,False,0.0,3330.0,76425.09999999999,897.8,327.62134779329074,570.1786522067091,0.0,,
MOXIFLOXACIN HCL,Moxifloxacin Hcl,Moxeza,3,False,0.0,4540.0,442502.30000000016,438452.30000000016,440270.4124326289,-1818.1124326287404,0.0,,
POTASSIUM CHLORIDE,Potassium Chloride,K-Tab Er,7,False,0.0,107834.0,15616405.499999987,893156.9000000003,1559695.857697429,-666538.9576974289,0.0,,
THEOPHYLLINE ANHYDROUS,Theophylline Anhydrous,Elixophyllin,3,False,0.0,3584.0,145464.0,80063.59999999999,78222.42730390493,1841.1726960950634,0.0,,
TRETINOIN,Tretinoin,Altreno,2,False,0.0,2089.0,44721.3,1098.2,16005.122819563607,-14906.922819563606,0.0,,
CHLORHEXIDINE GLUCONATE,Chlorhexidine Gluconate,Paroex,2,False,1.4559384294958315,6193.0,231286.90000000005,147.2,501.6893242303147,-354.4893242303147,-516.1146299929227,,
METHADONE HCL,Methadone Hcl,Methadone Intensol,2,False,13.703086644388687,8752.0,369126.20000000007,132.5,252.5542678487494,-120.05426784874942,-1645.1140343600598,,
TRIAMTERENE HYDROCHLOROTHIAZID,Triamterene/Hydrochlorothiazid,Dyazide,3,False,83.35523036507105,45988.0,3720674.9999999995,92.0,115.51759777464383,-23.51759777464379,-1960.3147801385157,,
HYDROCODONE ACETAMINOPHEN,Hydrocodone/Acetaminophen,Lortab,2,False,539.9411788451805,90262.0,11591550.899999995,92.3,110.10089788202357,-17.800897882023595,-9611.4377869225,,
GLIPIZIDE,Glipizide,Glucotrol,2,False,110.93400346835601,63874.0,8156218.699999997,328.0,433.2850234975165,-105.2850234975164,-11679.689161839427,,
HYDROXYUREA,Hydroxyurea,Droxia,3,False,79.91327521790855,7344.0,465441.1,1597.6,1823.273842053431,-225.67384205343103,-18034.335849498653,,
BETAMETHASONE DIPROPIONATE,Betamethasone Dipropionate,Betamethasone Diprop Augmented,2,False,39.562565439687184,9912.0,356233.8000000001,1052.3000000000002,1513.6043185433352,-461.304318543335,-18250.382289981,,
AZELAIC ACID,Azelaic Acid,Azelex,2,False,277.0406965229438,629.0,12746.799999999997,463.5,581.8281876869692,-118.32818768696923,-32781.72353509556,,
PREDNISOLONE ACETATE,Prednisolone Acetate,Pred Forte,2,False,131.141845887518,14532.0,2522212.8999999976,2533.4,2796.541597558381,-263.1415975583808,-34508.87483359646,,
CIPROFLOXACIN HCL,Ciprofloxacin Hcl,Ciloxan,2,False,256.1308479598186,65252.0,2247590.0999999996,642.3,786.215292916316,-143.91529291631622,-36861.14600904175,,
ITRACONAZOLE,Itraconazole,Sporanox,2,False,2021.4848594188861,273.0,7837.799999999999,61.0,79.3197217910047,-18.319721791004685,-37033.04022928221,,
TOLTERODINE TARTRATE,Tolterodine Tartrate,Detrol,2,False,324.03539774908626,12222.0,455476.9,257.2,378.52897097404184,-121.32897097404177,-39314.88136806098,,
NIACIN,Niacin,Niacor,2,False,44.06638438857004,3600.0,113481.99999999999,1842.1,2772.4493223447025,-930.3493223447025,-40997.13085408731,,
PHENYTOIN,Phenytoin,Dilantin,2,False,81.17344093731616,2710.0,59810.799999999974,3531.3999999999996,4211.687558339236,-680.287558339235,-55221.28193724092,,
GALANTAMINE HBR,Galantamine Hbr,Galantamine Er,2,False,12.102134947895564,2616.0,126460.4,80375.79999999999,85809.16646773764,-5433.366467737657,-65755.3342139318,,
FLUOROMETHOLONE,Fluorometholone,Fml,2,False,91.93304178124703,3324.0,219814.00000000003,627.1,1467.2947918609673,-840.1947918609677,-77241.66290454048,,
DOXAZOSIN MESYLATE,Doxazosin Mesylate,Cardura,2,False,192.8723493687475,33926.0,2441327.6000000006,387.0,812.021407323165,-425.0214073231647,-81974.8773624302,,
CALCITRIOL,Calcitriol,Rocaltrol,2,False,134.97512092935793,12038.0,1167947.1,359.1,968.1734554787749,-609.0734554787751,-82209.76330810954,,
CYCLOSPORINE MODIFIED,"Cyclosporine, Modified",Gengraf,2,False,81.1003974375461,679.0,19725.2,1604.7,2700.42646421184,-1095.7264642118398,-88863.85173041736,,
CLONIDINE,Clonidine,Catapres-Tts 1,3,False,473.67973860938594,8096.0,249522.69999999998,569.0,793.1954484620197,-224.19544846201993,-106196.84142490356,,
HYDROCODONE BITARTRATE,Hydrocodone Bitartrate,Hysingla Er,2,False,150.1980496427272,1327.0,35020.1,31697.100000000002,32471.70800546789,-774.6080054678863,-116344.61165891954,,
ORPHENADRINE ASPIRIN CAFFEINE,Orphenadrine/Aspirin/Caffeine,Norgesic Forte,2,False,1417.8604466261663,21.0,755.0,71.0,155.8102493074792,-84.81024930747921,-120249.09796157901,,
DEXMETHYLPHENIDATE HCL,Dexmethylphenidate Hcl,Focalin,2,False,326.1121395440423,972.0,17034.5,541.5,910.8097043439669,-369.3097043439668,-120436.37783798872,,
CLOBETASOL PROPIONATE,Clobetasol Propionate,Clobex,2,False,217.14400434587532,22393.0,1002328.9999999995,50.0,631.7853531367679,-581.7853531367679,-126331.20124989685,,
PAROXETINE HCL,Paroxetine Hcl,Paroxetine Cr,4,False,113.85773248310636,55683.0,3192776.0000000037,19726.6,20850.416447048214,-1123.8164470482188,-127955.19238813117,,
DIAZEPAM,Diazepam,Diastat Acudial,3,False,657.4404466235085,46485.0,1638555.9000000001,4398.8,4619.526682236309,-220.72668223631013,-145114.64855116507,,
GLYCOPYRROLATE,Glycopyrrolate,Cuvposa,2,False,439.35598736646585,3321.0,84016.69999999998,411.7,778.7745867118392,-367.0745867118393,-161276.4174819175,,
VERAPAMIL HCL,Verapamil Hcl,Calan Sr,6,False,12.531551563229865,25030.0,1233284.2000000002,1145285.2,1159627.695433661,-14342.495433660682,-179733.72107230782,,
ALPRAZOLAM,Alprazolam,Xanax,2,False,612.8525834281947,92353.0,8175593.299999994,7416.2,7791.273867817791,-375.07386781778723,-229864.98886853614,,
PROMETHAZINE HCL,Promethazine Hcl,Phenadoz,3,False,169.62014493701375,22953.0,690397.4,789.5,2157.839443765277,-1368.3394437652762,-232097.934774499,,
METRONIDAZOLE,Metronidazole,Metrogel,3,False,403.80722736092883,24046.0,604108.5000000001,328.3,917.1673548863612,-588.8673548863612,-237788.89386002574,,
VANCOMYCIN HCL,Vancomycin Hcl,Firvanq,2,False,203.2861193728096,3235.0,97579.69999999995,931.0,2175.2682310895166,-1244.2682310895161,-252942.4601570579,,
PROPRANOLOL HCL,Propranolol Hcl,Inderal La,3,False,2503.8566116712855,49219.0,2528179.400000001,423.29999999999995,540.8596032522049,-117.55960325220506,-294352.3898684867,,
ENALAPRIL MALEATE,Enalapril Maleate,Epaned,2,False,1127.317920837065,34506.0,2437656.100000001,272.0,626.1962347568849,-354.19623475688485,-399291.7629344485,,
